geography,gender,has_credit_card,is_active,card_type,age_group,age,credit_score,tenure,balance,num_products,est_salary,satisfaction_score,pts_earned,churned
France,Female,1,1,DIAMOND,Middle-Aged (26-45),42,619,2,0.0,1,101348.88,2,464,1
Spain,Female,0,1,DIAMOND,Middle-Aged (26-45),41,608,1,83807.86,1,112542.58,3,456,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),42,502,8,159660.8,3,113931.57,3,377,1
France,Female,0,0,GOLD,Middle-Aged (26-45),39,699,1,0.0,2,93826.63,5,350,0
Spain,Female,1,1,GOLD,Middle-Aged (26-45),43,850,2,125510.82,1,79084.1,5,425,0
Spain,Male,1,0,DIAMOND,Middle-Aged (26-45),44,645,8,113755.78,2,149756.71,5,484,1
France,Male,1,1,SILVER,Older Adults (46-64),50,822,7,0.0,2,10062.8,2,206,0
Germany,Female,1,0,DIAMOND,Middle-Aged (26-45),29,376,4,115046.74,4,119346.88,2,282,1
France,Male,0,1,GOLD,Middle-Aged (26-45),44,501,4,142051.07,2,74940.5,3,251,0
France,Male,1,1,GOLD,Middle-Aged (26-45),27,684,2,134603.88,1,71725.73,3,342,0
France,Male,0,0,GOLD,Middle-Aged (26-45),31,528,6,102016.72,2,80181.12,3,264,0
Spain,Male,1,0,GOLD,Young Adults (18-25),24,497,3,0.0,2,76390.01,3,249,0
France,Female,1,0,SILVER,Middle-Aged (26-45),34,476,10,0.0,2,26260.98,3,119,0
France,Female,0,0,PLATINUM,Young Adults (18-25),25,549,5,0.0,2,190857.79,3,549,0
Spain,Female,1,1,GOLD,Middle-Aged (26-45),35,635,7,0.0,2,65951.65,2,318,0
Germany,Male,0,1,GOLD,Middle-Aged (26-45),45,616,3,143129.41,2,64327.26,5,308,0
Germany,Male,1,0,SILVER,Older Adults (46-64),58,653,1,132602.88,1,5097.67,2,163,1
Spain,Female,1,1,SILVER,Young Adults (18-25),24,549,9,0.0,2,14406.41,3,544,0
Spain,Male,0,0,PLATINUM,Middle-Aged (26-45),45,587,6,0.0,1,158684.81,3,732,0
France,Female,1,1,GOLD,Young Adults (18-25),24,726,6,0.0,2,54724.03,4,477,0
France,Male,1,1,PLATINUM,Middle-Aged (26-45),41,732,8,0.0,2,170886.17,3,568,0
Spain,Female,1,0,DIAMOND,Middle-Aged (26-45),32,636,8,0.0,2,138555.46,2,336,0
Spain,Female,1,0,DIAMOND,Middle-Aged (26-45),38,510,4,0.0,1,118913.53,2,887,1
France,Male,0,1,SILVER,Older Adults (46-64),46,669,3,0.0,2,8487.75,2,665,0
France,Female,1,1,PLATINUM,Middle-Aged (26-45),38,846,5,0.0,1,187616.16,3,225,0
France,Male,0,1,PLATINUM,Young Adults (18-25),25,577,3,0.0,2,124508.29,3,659,0
Germany,Male,1,1,DIAMOND,Middle-Aged (26-45),36,756,2,136815.64,1,170041.95,5,236,0
France,Male,0,0,PLATINUM,Middle-Aged (26-45),44,571,9,0.0,2,38433.35,4,448,0
Germany,Female,1,1,DIAMOND,Middle-Aged (26-45),43,574,3,141349.43,1,100187.43,5,499,0
France,Male,1,1,GOLD,Middle-Aged (26-45),29,411,0,59697.17,2,53483.21,2,343,0
Spain,Female,1,0,DIAMOND,Middle-Aged (26-45),39,591,3,0.0,3,140469.38,3,298,1
France,Male,0,1,SILVER,Middle-Aged (26-45),36,533,7,85311.7,1,156731.91,5,628,0
Germany,Male,0,0,GOLD,Middle-Aged (26-45),41,553,9,110112.54,2,81898.81,3,611,0
Spain,Female,1,1,SILVER,Middle-Aged (26-45),42,520,6,0.0,2,34410.55,2,922,0
Spain,Female,1,1,PLATINUM,Middle-Aged (26-45),29,722,9,0.0,2,142033.07,5,276,0
France,Female,1,0,DIAMOND,Middle-Aged (26-45),45,475,0,134264.04,1,27822.99,1,877,1
Spain,Male,0,1,SILVER,Middle-Aged (26-45),31,490,3,145260.23,1,114066.77,4,471,0
Spain,Male,0,1,GOLD,Middle-Aged (26-45),33,804,7,76548.6,1,98453.45,2,994,0
France,Male,1,1,GOLD,Middle-Aged (26-45),36,850,7,0.0,1,40812.9,3,944,0
Germany,Male,0,1,GOLD,Middle-Aged (26-45),41,582,6,70349.48,2,178074.04,5,419,0
Spain,Male,1,0,DIAMOND,Middle-Aged (26-45),40,472,4,0.0,1,70154.22,4,545,0
France,Female,0,0,SILVER,Older Adults (46-64),51,465,8,122522.32,1,181297.65,5,828,1
France,Female,1,1,PLATINUM,Older Adults (46-64),61,556,2,117419.35,1,94153.83,3,789,0
France,Female,0,0,GOLD,Older Adults (46-64),49,834,2,131394.56,1,194365.76,2,567,1
Spain,Female,1,1,PLATINUM,Older Adults (46-64),61,660,5,155931.11,1,158338.39,1,884,0
Germany,Female,1,1,SILVER,Middle-Aged (26-45),32,776,4,109421.13,2,126517.46,1,296,0
Germany,Female,1,1,DIAMOND,Middle-Aged (26-45),27,829,9,112045.67,1,119708.21,3,779,1
Germany,Female,1,1,SILVER,Middle-Aged (26-45),39,637,9,137843.8,1,117622.8,1,730,1
Germany,Male,0,1,DIAMOND,Middle-Aged (26-45),38,550,2,103391.38,1,90878.13,3,960,0
Germany,Female,1,0,SILVER,Middle-Aged (26-45),37,776,2,103769.22,2,194099.12,1,268,0
Germany,Male,1,0,SILVER,Middle-Aged (26-45),44,698,10,116363.37,2,198059.16,4,829,0
Germany,Male,0,0,SILVER,Middle-Aged (26-45),36,585,5,146050.97,2,86424.57,3,665,0
France,Female,0,0,GOLD,Middle-Aged (26-45),33,788,5,0.0,2,116978.19,3,982,0
Germany,Male,0,0,SILVER,Middle-Aged (26-45),41,655,8,125561.97,1,164040.94,3,343,1
Germany,Male,1,0,DIAMOND,Middle-Aged (26-45),42,601,1,98495.72,1,40014.76,2,225,1
